,Strategy,Number of addresses,Number of accesses in loop,Different addresses in loop,Step size,Mirrored,Rate,Average runtime
0,1-1-1-1-m,1,1,1,1,False,0.09000900090009001,958.7193157947385
1,1-10-1-1-m,1,10,1,1,False,0.11001100110011,1047.091636654662
2,1-2-1-1-m,1,2,1,1,False,0.10003000900270081,938.6963534361852
3,1-3-1-1-m,1,3,1,1,False,0.09002700810243072,972.0304091227368
4,1-4-1-1-m,1,4,1,1,False,0.15001500150015,988.2560768230469
5,1-5-1-1-m,1,5,1,1,False,0.10002000400080016,991.4258536096926
6,1-6-1-1-m,1,6,1,1,False,0.09000900090009001,1005.068606860686
7,1-7-1-1-m,1,7,1,1,False,0.0,976.9193596798399
8,1-8-1-1-m,1,8,1,1,False,0.0,1014.0610610610611
9,1-9-1-1-m,1,9,1,1,False,0.10002000400080016,1007.6197859357808
10,10-1-1-1-m,10,1,1,1,False,0.010006003602161296,1282.3074922476742
11,10-1-10-1-m,10,1,10,1,False,2.0106031809542864,1313.9012605042017
12,10-1-2-1-m,10,1,2,1,False,0.10002000400080016,1287.3418709354678
13,10-1-3-1-m,10,1,3,1,False,0.16001600160016002,1434.848654596379
14,10-1-4-1-m,10,1,4,1,False,0.11002200440088017,1475.6848424212105
15,10-1-5-1-m,10,1,5,1,False,0.0,1522.2216221622161
16,10-1-6-1-m,10,1,6,1,False,0.0,1995.0205102551276
17,10-1-7-1-m,10,1,7,1,False,0.05001000200040008,1949.8302490747224
18,10-1-8-1-m,10,1,8,1,False,2.5602560256025604,1805.3360344137654
19,10-1-9-1-m,10,1,9,1,False,0.18005401620486144,1638.4847484748475
20,10-10-1-1-m,10,10,1,1,False,0.11002200440088017,2179.3350670134027
21,10-10-10-1-m,10,10,10,1,False,2.3518815052041635,4381.6152460984395
22,10-10-2-1-m,10,10,2,1,False,0.18003600720144028,2832.6420926277883
23,10-10-3-1-m,10,10,3,1,False,0.15021029441217706,4196.906543926356
24,10-10-4-1-m,10,10,4,1,False,0.15003000600120023,4616.012006003001
25,10-10-5-1-m,10,10,5,1,False,0.2000200020002,10948.018028846154
26,10-10-6-1-m,10,10,6,1,False,0.2501000400160064,11418.332432432433
27,10-10-7-1-m,10,10,7,1,False,0.32003200320032005,10937.799979987993
28,10-10-8-1-m,10,10,8,1,False,0.18005401620486144,9777.538707741549
29,10-10-9-1-m,10,10,9,1,False,0.0,7325.080096115338
30,10-2-1-1-m,10,2,1,1,False,0.11001100110011,1359.6748024407323
31,10-2-10-1-m,10,2,10,1,False,0.060012002400480095,1674.7157431486298
32,10-2-2-1-m,10,2,2,1,False,0.07002100630189056,1335.5260578173452
33,10-2-3-1-m,10,2,3,1,False,0.0,1701.0946283885166
34,10-2-4-1-m,10,2,4,1,False,0.08002400720216064,1809.7475990396158
35,10-2-5-1-m,10,2,5,1,False,0.18003600720144028,2557.434404082858
36,10-2-6-1-m,10,2,6,1,False,0.060012002400480095,3062.372549019608
37,10-2-7-1-m,10,2,7,1,False,0.17003400680136027,2917.4292717086837
38,10-2-8-1-m,10,2,8,1,False,0.0,2624.265453090618
39,10-2-9-1-m,10,2,9,1,False,0.040008001600320066,2229.7593277983397
40,10-3-1-1-m,10,3,1,1,False,1.5003000600120024,1366.7923377013103
41,10-3-10-1-m,10,3,10,1,False,0.07002100630189056,2107.944861402982
42,10-3-2-1-m,10,3,2,1,False,0.11001100110011,1556.6528305661132
43,10-3-3-1-m,10,3,3,1,False,0.24002400240024005,2173.4697348674335
44,10-3-4-1-m,10,3,4,1,False,0.13001300130013002,2243.36911073322
45,10-3-5-1-m,10,3,5,1,False,0.11001100110011,3649.1953586075824
46,10-3-6-1-m,10,3,6,1,False,0.07000700070007,4110.883241620811
47,10-3-7-1-m,10,3,7,1,False,0.12002400480096019,3920.211769415532
48,10-3-8-1-m,10,3,8,1,False,2.522017614091273,3512.231515757879
49,10-3-9-1-m,10,3,9,1,False,0.10011012113324658,2872.9110288230586
50,10-4-1-1-m,10,4,1,1,False,2.87028702870287,1480.0188037607522
51,10-4-10-1-m,10,4,10,1,False,0.16001600160016002,2332.3073229291717
52,10-4-2-1-m,10,4,2,1,False,0.0,1732.0441132339702
53,10-4-3-1-m,10,4,3,1,False,0.2001000500250125,2439.6985397079416
54,10-4-4-1-m,10,4,4,1,False,0.08001600320064013,2615.78574289147
55,10-4-5-1-m,10,4,5,1,False,0.05001000200040008,4699.63025210084
56,10-4-6-1-m,10,4,6,1,False,0.10003000900270081,5195.119859929965
57,10-4-7-1-m,10,4,7,1,False,0.12015620306398318,4901.847377902322
58,10-4-8-1-m,10,4,8,1,False,0.17003400680136027,4323.2416449869925
59,10-4-9-1-m,10,4,9,1,False,0.0,3539.960592118424
60,10-5-1-1-m,10,5,1,1,False,0.10003000900270081,1536.5362144857943
61,10-5-10-1-m,10,5,10,1,False,0.0,2680.258129064532
62,10-5-2-1-m,10,5,2,1,False,0.21002100210021002,1886.4149244773432
63,10-5-3-1-m,10,5,3,1,False,2.5002500250025,2716.490545272636
64,10-5-4-1-m,10,5,4,1,False,0.17005101530459138,2911.2719087635055
65,10-5-5-1-m,10,5,5,1,False,0.23004600920184035,5742.4887421194835
66,10-5-6-1-m,10,5,6,1,False,0.12002400480096019,6198.510959863877
67,10-5-7-1-m,10,5,7,1,False,2.470494098819764,5899.466466466466
68,10-5-8-1-m,10,5,8,1,False,0.20004000800160032,5194.1182946357085
69,10-5-9-1-m,10,5,9,1,False,0.21004200840168036,4157.875800640512
70,10-6-1-1-m,10,6,1,1,False,0.15001500150015,1642.508801760352
71,10-6-10-1-m,10,6,10,1,False,0.08001600320064013,3029.27669368558
72,10-6-2-1-m,10,6,2,1,False,1.9711827096257752,2073.6778677867787
73,10-6-3-1-m,10,6,3,1,False,0.12002400480096019,2995.436161697018
74,10-6-4-1-m,10,6,4,1,False,0.13002600520104018,3256.2757102841138
75,10-6-5-1-m,10,6,5,1,False,0.26010404161664663,6788.95045045045
76,10-6-6-1-m,10,6,6,1,False,0.26002600260026004,7253.192253803042
77,10-6-7-1-m,10,6,7,1,False,0.22004400880176034,6898.354425310373
78,10-6-8-1-m,10,6,8,1,False,0.07000700070007,6064.0905181036205
79,10-6-9-1-m,10,6,9,1,False,0.18003600720144028,4759.3950580232095
80,10-7-1-1-m,10,7,1,1,False,0.22002200220022,1761.915791579158
81,10-7-10-1-m,10,7,10,1,False,0.2900580116023205,3361.111933580074
82,10-7-2-1-m,10,7,2,1,False,0.08000800080008001,2259.3083541770884
83,10-7-3-1-m,10,7,3,1,False,0.2200660198059418,3304.1096438575432
84,10-7-4-1-m,10,7,4,1,False,0.15003000600120023,3608.0520156046814
85,10-7-5-1-m,10,7,5,1,False,0.0,7832.539393332666
86,10-7-6-1-m,10,7,6,1,False,0.2200660198059418,8291.200780702633
87,10-7-7-1-m,10,7,7,1,False,0.13005202080832332,7823.784849394576
88,10-7-8-1-m,10,7,8,1,False,0.12010809728755881,6879.32178961065
89,10-7-9-1-m,10,7,9,1,False,0.20004000800160032,5386.771517213771
90,10-8-1-1-m,10,8,1,1,False,0.0,1922.773932179654
91,10-8-10-1-m,10,8,10,1,False,0.13011710539485538,3735.62588776633
92,10-8-2-1-m,10,8,2,1,False,0.030003000300030006,2505.4651255879116
93,10-8-3-1-m,10,8,3,1,False,0.13001300130013002,3589.3996598639455
94,10-8-4-1-m,10,8,4,1,False,0.13001300130013002,3933.8583867093676
95,10-8-5-1-m,10,8,5,1,False,0.15018021625951142,8877.503702221333
96,10-8-6-1-m,10,8,6,1,False,0.12018027040560841,9317.161777955751
97,10-8-7-1-m,10,8,7,1,False,0.13011710539485538,8868.176670668267
98,10-8-8-1-m,10,8,8,1,False,0.0,7707.182445956765
